"FRAS_ref","Description","Type","Controller","OTU_OMU","BUS_GATE","Easting","Northing","Type_Of_Control","SCOOT_REGION","SCOOT_STATUS","SCOOT_COMMISSION_DATE","SCOOT_ANTICIP_DATE","SCOOT_PROGRESS","Authority","HWAYS_AGENCY_AREA","HA_AGENCY_MAINTAINED","Longitude","Latitude","Final_Longitude","Final_Latitude","_COL7","NIS_node","_Object","COMMENTS","Crossing_Facility"
"1","Albion St/Whitworth St West","Signal","ST900","Gemini UTMC","NO",383626,397526,"UTC_FT","","COMPLETED",,"","ON-GOING","Manchester","","",-2.248157,53.474223,"","",1,0,"Point","",""
"2","Albion St/Great Bridgewater St/Lower Mosley St","Signal","ST800","Gemini UTMC","NO",383677,397629,"UTC_FT","","",,"","","Manchester","","",-2.247394,53.47515,"","",1,0,"Point","",""
"3","Albert Sq/John Dalton St/Cross St","Signal","ST800","Gemini UTMC","NO",383826,398186,"UTC_FT","","",,"","","Manchester","","",-2.245177,53.480161,"","",1,0,"Point","",""
"4","Fairfield St/Travis St/Nield St","Signal","ST800","Gemini UTMC","NO",384988,397736,"UTC_FT","","",,"","","Manchester","","",-2.227647,53.476151,"","",1,0,"Point","",""
"5","Princess Rd/Greenheys Ln","Signal","ST800","Gemini UTMC","NO",383832,396222,"SCOOT","CP","COMPLETED",20100125,"","","Manchester","","",-2.244988,53.462507,"","",1,1,"Point","",""
"7","Ashton New Rd/Alan Turing Way","Signal","ST900","Gemini UTMC","NO",387149,398337,"SCOOT","CX","COMPLETED",20110510,"","","Manchester","","",-2.195113,53.48161,"","",1,1,"Point","",""
"8","Ashton Old Rd/Fairfield Rd/Ogden Ln","Signal","ST900","Gemini UTMC","NO",389242,397359,"UTC_FT","","COMPLETED",,"","","Manchester","","",-2.163541,53.472867,"","",1,0,"Point","",""
"10","Ashton Old Rd/Pottery Ln/Alan Turning Way","Signal","ST800","Gemini UTMC","NO",387196,397504,"SCOOT","CX","COMPLETED",20110622,"","","Manchester","","",-2.194371,53.474124,"","",0,1,"Point","",""
"11","Ashton Old Rd/Chancellor Ln/Fairfiled St/Pinmill Brow","Signal","ST800","Unspecified","NO",385710,397643,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","","",-2.216765,53.475335,"","",0,1,"Point","",""
"12","Ashton Old Rd/Midland St","Signal","ST800","Gemini UTMC","NO",385879,397625,"SCOOT","CI","COMPLETED",20070301,"","","Manchester","","",-2.214218,53.475178,"","",1,1,"Point","",""
